Intervalle : [0//1 , 3//1186]

Intervalle : [3//1186 , 2//681]

Intervalle : [2//681 , 1//92]

Intervalle : [1//92 , 1//91]

Intervalle : [1//91 , 1//90]

Intervalle : [1//90 , 1//83]

Intervalle : [1//83 , 1//82]

Intervalle : [1//82 , 1//81]

Intervalle : [1//81 , 1//79]

Intervalle : [1//79 , 1//78]

Intervalle : [1//78 , 1//77]

Intervalle : [1//77 , 1//73]

Intervalle : [1//73 , 1//72]

Intervalle : [1//72 , 1//71]

Intervalle : [1//71 , 1//69]

Intervalle : [1//69 , 1//65]

Intervalle : [1//65 , 1//64]

Intervalle : [1//64 , 1//63]

Intervalle : [1//63 , 1//62]

Intervalle : [1//62 , 1//61]

Intervalle : [1//61 , 1//59]

Intervalle : [1//59 , 1//58]

Intervalle : [1//58 , 1//57]

Intervalle : [1//57 , 1//55]

Intervalle : [1//55 , 1//54]

Intervalle : [1//54 , 1//53]

Intervalle : [1//53 , 1//51]

Intervalle : [1//51 , 1//50]

Intervalle : [1//50 , 1//49]

Intervalle : [1//49 , 1//48]

Intervalle : [1//48 , 1//47]

Intervalle : [1//47 , 1//45]

Intervalle : [1//45 , 2//87]

Intervalle : [2//87 , 1//43]

Intervalle : [1//43 , 2//85]

Intervalle : [2//85 , 1//42]

Intervalle : [1//42 , 1//41]

Intervalle : [1//41 , 1//40]

Intervalle : [1//40 , 1//39]

Intervalle : [1//39 , 2//77]

Intervalle : [2//77 , 1//38]

Intervalle : [1//38 , 1//37]

Intervalle : [1//37 , 2//73]

Intervalle : [2//73 , 1//36]

Intervalle : [1//36 , 2//71]

Intervalle : [2//71 , 1//35]

Intervalle : [1//35 , 2//69]

Intervalle : [2//69 , 1//34]

Intervalle : [1//34 , 2//67]

Intervalle : [2//67 , 3//100]

Intervalle : [3//100 , 1//33]

Intervalle : [1//33 , 2//63]

Intervalle : [2//63 , 3//94]

Intervalle : [3//94 , 1//31]

Intervalle : [1//31 , 2//61]

Intervalle : [2//61 , 1//30]

Intervalle : [1//30 , 3//89]

Intervalle : [3//89 , 1//29]

Intervalle : [1//29 , 3//86]

Intervalle : [3//86 , 2//57]

Intervalle : [2//57 , 1//28]

Intervalle : [1//28 , 3//83]

Intervalle : [3//83 , 2//55]

Intervalle : [2//55 , 1//27]

Intervalle : [1//27 , 2//53]

Intervalle : [2//53 , 1//26]

Intervalle : [1//26 , 2//51]

Intervalle : [2//51 , 1//25]

Intervalle : [1//25 , 2//49]

Intervalle : [2//49 , 1//24]

Intervalle : [1//24 , 3//71]

Intervalle : [3//71 , 3//70]

Intervalle : [3//70 , 1//23]

Intervalle : [1//23 , 4//91]

Intervalle : [4//91 , 3//68]

Intervalle : [3//68 , 1//22]

Intervalle : [1//22 , 2//43]

Intervalle : [2//43 , 4//85]

Intervalle : [4//85 , 1//21]

Intervalle : [1//21 , 3//62]

Intervalle : [3//62 , 2//41]

Intervalle : [2//41 , 4//81]

Intervalle : [4//81 , 1//20]

Intervalle : [1//20 , 4//79]

Intervalle : [4//79 , 5//97]

Intervalle : [5//97 , 3//58]

Intervalle : [3//58 , 1//19]

Intervalle : [1//19 , 3//56]

Intervalle : [3//56 , 2//37]

Intervalle : [2//37 , 3//55]

Intervalle : [3//55 , 1//18]

Intervalle : [1//18 , 5//89]

Intervalle : [5//89 , 4//71]

Intervalle : [4//71 , 3//53]

Intervalle : [3//53 , 5//88]

Intervalle : [5//88 , 2//35]

Intervalle : [2//35 , 3//52]

